Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
runner02,Chrome 96.0.4664.93,,,2021-12-14 12:07:20,2021-12-14 12:07:59,39.150s,PASSED
,,,,,,,
Test Cases/Register/Create account,Chrome 96.0.4664.93,,,2021-12-14 12:07:21,2021-12-14 12:07:59,38.371s,PASSED
"openBrowser("""")",Chrome 96.0.4664.93,,,2021-12-14 12:07:22,2021-12-14 12:07:25,3.607s,PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 96.0.4664.93,,,2021-12-14 12:07:25,2021-12-14 12:07:32,6.409s,PASSED
maximizeWindow(),Chrome 96.0.4664.93,,,2021-12-14 12:07:32,2021-12-14 12:07:32,0.186s,PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 96.0.4664.93,,,2021-12-14 12:07:32,2021-12-14 12:07:36,3.644s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email_create""), email)",Chrome 96.0.4664.93,,,2021-12-14 12:07:36,2021-12-14 12:07:37,0.973s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Create an account""))",Chrome 96.0.4664.93,,,2021-12-14 12:07:37,2021-12-14 12:07:37,0.481s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/input_Mr_id_gender""))",Chrome 96.0.4664.93,,,2021-12-14 12:07:37,2021-12-14 12:07:39,2.038s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_firstname""), firstname)",Chrome 96.0.4664.93,,,2021-12-14 12:07:39,2021-12-14 12:07:40,1.036s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__customer_lastname""), lastname)",Chrome 96.0.4664.93,,,2021-12-14 12:07:40,2021-12-14 12:07:41,0.791s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__passwd""), password)",Chrome 96.0.4664.93,,,2021-12-14 12:07:41,2021-12-14 12:07:42,0.790s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-12345678910111213141516171819202122_51e29d""), ""1"", true)",Chrome 96.0.4664.93,,,2021-12-14 12:07:42,2021-12-14 12:07:43,1.641s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-JanuaryFebruaryMarchAprilMayJuneJul_702766""), ""3"", true)",Chrome 96.0.4664.93,,,2021-12-14 12:07:43,2021-12-14 12:07:45,1.333s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-20212020201920182017201620152014201_28b437""), ""2002"", true)",Chrome 96.0.4664.93,,,2021-12-14 12:07:45,2021-12-14 12:07:48,3.367s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Company_company""), company)",Chrome 96.0.4664.93,,,2021-12-14 12:07:48,2021-12-14 12:07:49,0.807s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__address1""), address1)",Chrome 96.0.4664.93,,,2021-12-14 12:07:49,2021-12-14 12:07:50,0.796s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Address (Line 2)_address2""), address2)",Chrome 96.0.4664.93,,,2021-12-14 12:07:50,2021-12-14 12:07:51,0.811s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__city""), city)",Chrome 96.0.4664.93,,,2021-12-14 12:07:51,2021-12-14 12:07:51,0.817s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Login - My Store/select_-AlabamaAlaskaArizonaArkansasCalifor_c52141""), ""9"", true)",Chrome 96.0.4664.93,,,2021-12-14 12:07:51,2021-12-14 12:07:54,2.141s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__postcode""), poscode)",Chrome 96.0.4664.93,,,2021-12-14 12:07:54,2021-12-14 12:07:54,0.809s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/textarea_Additional information_other""), addinfo)",Chrome 96.0.4664.93,,,2021-12-14 12:07:54,2021-12-14 12:07:55,0.781s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Home phone_phone""), homephone)",Chrome 96.0.4664.93,,,2021-12-14 12:07:55,2021-12-14 12:07:56,0.821s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input__phone_mobile""), mobilephone)",Chrome 96.0.4664.93,,,2021-12-14 12:07:56,2021-12-14 12:07:57,0.810s,PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Register""))",Chrome 96.0.4664.93,,,2021-12-14 12:07:57,2021-12-14 12:07:59,2.614s,PASSED
